CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Churn
0.7099999999999999,1,-0.24578346510593324,0.4,0.6468712964720139,0.0,1,1,0.8007524771712358,0,1,0,0
0.672,1,0.5480974707951571,0.8,0.4422199295969974,0.0,1,0,0.17641803317928983,1,0,0,0
0.5259999999999999,0,-1.4933106500933608,0.2,0.5632020395695144,0.3333333333333333,1,0,0.5067111997299082,0,1,0,0
0.46199999999999986,0,0.6615090330667415,0.2,0.0,0.0,1,1,0.5380134236500701,1,0,0,0
0.668,0,-1.4933106500933608,0.8,0.0,0.0,1,1,0.727685924346785,1,0,0,0
0.7079999999999999,0,0.2078627839804041,0.1,0.0,0.3333333333333333,1,0,0.6996244317414683,1,0,0,0
0.5019999999999999,0,-0.812841276463855,0.5,0.5132180974544142,0.3333333333333333,1,0,0.6970490250717838,1,0,0,0
0.662,0,0.8883321576099101,0.2,0.7108530747158115,0.3333333333333333,0,1,0.379422139032741,0,1,0,0
0.662,1,0.3212743462519884,0.1,0.0,0.3333333333333333,1,1,0.8125644408188977,1,0,0,0
0.4919999999999999,0,-0.9262528387354393,1.0,0.24186450836612447,0.0,1,1,0.39594735251065755,0,1,0,0
0.7000000000000001,0,-0.1323719028343489,0.5,0.0,0.3333333333333333,1,1,0.48270513597109715,1,0,0,0
0.7599999999999999,1,-0.9262528387354393,0.5,0.0,0.3333333333333333,1,1,0.04577958815003781,1,0,0,0
0.5139999999999999,1,-0.6994297141922706,0.9,0.6051996589083759,0.3333333333333333,1,0,0.8828836030541103,0,1,0,0
0.85,1,-0.1323719028343489,0.9,0.0,0.3333333333333333,1,1,0.321811778057103,0,0,1,0
0.638,0,0.43468590852357275,0.6000000000000001,0.0,0.3333333333333333,1,0,0.6723234102080111,1,0,0,0
0.4939999999999999,0,0.3212743462519884,0.5,0.0,0.0,1,1,0.4576389049036478,1,0,0,0
0.8059999999999999,1,0.3212743462519884,0.8,0.0,0.6666666666666667,1,0,0.2415595189672801,1,0,0,1
0.354,0,0.8883321576099101,0.4,0.0,0.0,1,0,0.47227539677985875,1,0,0,1
0.5439999999999999,1,2.7029171539552594,0.30000000000000004,0.0,0.3333333333333333,1,1,0.4962858126622886,1,0,0,0
0.45000000000000007,0,3.2699749653131813,0.5,0.4545834522573241,0.0,1,1,0.9972678168312228,0,1,0,0
0.45799999999999985,1,-0.4726065896491019,0.2,0.6244224740586295,0.3333333333333333,0,0,0.6313975904542621,0,1,0,0
0.47999999999999987,0,-0.4726065896491019,0.8,0.0,0.0,0,1,0.7115568041425814,1,0,0,0
0.578,0,2.249270904868922,0.8,0.0,0.0,1,0,0.3282523207198953,0,0,1,1
0.618,0,1.3419784066962475,0.7000000000000001,0.0,0.0,0,0,0.9642257939761707,1,0,0,1
0.6,0,-0.9262528387354393,0.7000000000000001,0.3410846606257474,0.0,1,0,0.9193382911191517,1,0,0,0
0.45999999999999985,1,2.1358593425973376,0.7000000000000001,0.5739434977227839,0.0,0,1,0.54245804240179,0,0,1,0
0.346,0,0.3212743462519884,0.8,0.2779117752620984,0.0,1,0,0.6873411881327495,1,0,0,0
0.596,1,0.5480974707951571,0.5,0.6431278125418961,0.0,0,0,0.8527844161558633,1,0,0,0
0.45799999999999985,0,-0.6994297141922706,1.0,0.0,0.0,1,0,0.49730971227410414,1,0,0,0
0.652,0,-0.4726065896491019,0.6000000000000001,0.0,0.0,0,1,0.32190817509403713,1,0,0,0
0.598,0,-0.1323719028343489,0.0,0.5379642712899951,0.0,1,0,0.7286464430318774,0,0,1,0
0.882,1,-0.5860181519206863,0.6000000000000001,0.0,0.0,0,1,0.7219715360109966,1,0,0,0
0.4,1,0.8883321576099101,0.9,0.0,0.3333333333333333,0,1,0.6528199434914267,1,0,0,0
0.9999999999999999,1,-0.24578346510593324,0.1,0.0,0.3333333333333333,1,1,0.4296716582856605,1,0,0,0
0.686,1,0.2078627839804041,0.8,0.6787396540322825,0.0,1,1,0.7643275536297937,1,0,0,0
0.6940000000000001,0,1.2285668444246631,0.5,0.0,0.0,0,0,0.8845483653748848,1,0,0,1
0.5039999999999999,1,0.3212743462519884,0.4,0.0,0.3333333333333333,1,1,0.7751675930270175,0,0,1,0
0.674,1,0.09445122170881975,0.8,0.40248627067620474,0.0,1,1,0.3551996196544104,1,0,0,0
